Date,Value,Anomaly
202011,45.3,4.9
202012,33.0,2.3
202101,29.4,4.2
202102,23.4,-3.9
202103,42.9,6.6
202104,50.7,2.8
202105,58.8,-0.5
202106,72.9,3.9
202107,73.6,0.5
202108,75.5,4.1
202109,66.7,2.5
202110,59.1,6.8
202111,39.7,-0.7
202112,37.3,6.6
